Protocol  Address          Age (min)  Hardware Addr   Type   Interface
Internet  161.16.150.39          23   0050.56b3.11ae  ARPA   Vlan150
Internet  161.16.152.41           0   0050.56b3.16e4  ARPA   Vlan152
Internet  161.16.153.40           0   d89d.6770.425c  ARPA   Vlan153
Internet  161.16.154.43           5   0050.56b3.3377  ARPA   Vlan154
Internet  161.16.154.42           0   Incomplete      ARPA   
Internet  161.16.150.38           9   0002.ac80.7194  ARPA   Vlan150
Internet  161.16.152.40           0   0050.56b3.54a9  ARPA   Vlan152
Internet  161.16.153.41           0   d89d.6770.8204  ARPA   Vlan153
Internet  161.16.150.37           1   0050.8444.3914  ARPA   Vlan150
Internet  161.16.152.43           0   0050.56b3.631b  ARPA   Vlan152
Internet  161.16.153.42           0   1060.4ba4.91ac  ARPA   Vlan153
Internet  161.16.152.42          13   0050.56b3.3dd3  ARPA   Vlan152
Internet  161.16.154.40          10   fc15.b40b.5f14  ARPA   Vlan154
Internet  161.16.153.43           0   1060.4b99.430c  ARPA   Vlan153
Internet  161.16.154.47           0   0050.56b3.3925  ARPA   Vlan154
Internet  161.16.153.44           0   d89d.6770.57c4  ARPA   Vlan153
Internet  161.16.197.113          0   00e0.ed21.1caf  ARPA   Vlan196
Internet  161.16.198.114          0   00e0.ed21.1caf  ARPA   Vlan196
Internet  161.16.152.44           3   0050.56b3.5c21  ARPA   Vlan152
Internet  161.16.154.46           0   0050.56b3.3de5  ARPA   Vlan154
Internet  161.16.150.34           1   0050.56b3.2a90  ARPA   Vlan150
Internet  161.16.153.45           0   d89d.6770.13cc  ARPA   Vlan153
Internet  161.16.150.33           2   00e0.8624.9aa8  ARPA   Vlan150
Internet  161.16.153.46           0   d89d.6770.d204  ARPA   Vlan153
Internet  161.16.154.45           0   0050.56b3.67c0  ARPA   Vlan154
Internet  161.16.152.47           0   b499.ba08.e144  ARPA   Vlan152
Internet  161.16.152.46           1   0050.56b3.028c  ARPA   Vlan152
Internet  161.16.154.44           0   0050.56b3.67bf  ARPA   Vlan154
Internet  161.16.153.47           0   d89d.6770.b70c  ARPA   Vlan153
Internet  161.16.150.32           0   0050.56b3.0078  ARPA   Vlan150
Internet  161.16.153.32           0   Incomplete      ARPA   
Internet  161.16.197.124          3   00e0.ed21.1caf  ARPA   Vlan196
Internet  161.16.150.47           4   0090.5b02.0518  ARPA   Vlan150
Internet  161.16.154.35           4   0050.56b3.5406  ARPA   Vlan154
Internet  161.16.152.33           0   0050.56b3.2502  ARPA   Vlan152
Internet  161.16.197.125         13   00e0.ed21.1caf  ARPA   Vlan196
Internet  161.16.154.34           0   0050.56b3.4f5e  ARPA   Vlan154
Internet  161.16.150.46           6   3464.a995.e9ec  ARPA   Vlan150
Internet  161.16.153.33           0   0050.56b3.7fac  ARPA   Vlan153
Internet  161.16.152.32           0   a0d3.c1f3.9c1c  ARPA   Vlan152
Internet  161.16.153.34           0   Incomplete      ARPA   
Internet  161.16.152.35           0   0050.56b3.4279  ARPA   Vlan152
Internet  161.16.150.45           1   0005.3342.5fd2  ARPA   Vlan150
Internet  161.16.154.33           0   0050.56b3.28a7  ARPA   Vlan154
Internet  161.16.153.35           0   Incomplete      ARPA   
Internet  161.16.197.127         20   00e0.ed21.1caf  ARPA   Vlan196
Internet  161.16.150.44           1   0005.3339.dc02  ARPA   Vlan150
Internet  161.16.152.34           3   0050.56b3.0af9  ARPA   Vlan152
Internet  161.16.152.37           0   Incomplete      ARPA   
Internet  161.16.153.36           5   0025.9028.c2d4  ARPA   Vlan153
Internet  161.16.150.43           2   0005.333a.0640  ARPA   Vlan150
Internet  161.16.152.36           0   Incomplete      ARPA   
Internet  161.16.150.42           0   0025.9095.5060  ARPA   Vlan150
Internet  161.16.153.37          19   001e.67bc.9111  ARPA   Vlan153
Internet  161.16.154.38           0   2c59.e53c.691c  ARPA   Vlan154
Internet  161.16.154.37           0   Incomplete      ARPA   
Internet  161.16.152.39           0   0050.56b3.39f6  ARPA   Vlan152
Internet  161.16.153.38           2   0050.56b3.67e6  ARPA   Vlan153
Internet  161.16.150.41           0   0025.907d.a23e  ARPA   Vlan150
Internet  161.16.152.38           0   Incomplete      ARPA   
Internet  161.16.198.120          7   00e0.ed21.1caf  ARPA   Vlan196
Internet  161.16.197.123         23   00e0.ed21.1caf  ARPA   Vlan196
Internet  161.16.150.40           0   1418.7747.363c  ARPA   Vlan150
Internet  161.16.154.36           0   0050.56b3.4b38  ARPA   Vlan154
Internet  161.16.153.39           1   0050.56b3.5745  ARPA   Vlan153
Internet  161.16.153.56           3   0050.56b3.5856  ARPA   Vlan153
Internet  161.16.152.57           2   0090.0b32.326e  ARPA   Vlan152
Internet  161.16.154.59           1   ac16.2d89.d654  ARPA   Vlan154
Internet  161.16.197.101          8   00e0.ed21.1caf  ARPA   Vlan196
Internet  161.16.152.56           7   0090.0b32.2c9e  ARPA   Vlan152
